Project,Client,Title,Duration
SOS1920-26,,#1 Añadir profesores a Toggl,00:01:04
SOS1920-26,,#1 hacer l02,00:07:21
SOS1920-26,,#10 Desplegar el proyecto de Heroku,00:30:09
SOS1920-26,,#11 Implementar servidor web,00:41:14
SOS1920-26,,#12 Heroku,02:54:39
SOS1920-26,,#13 Heroku diemonvaz,04:42:28
SOS1920-26,,#14 postman,04:24:29
SOS1920-26,,#15 Afianzar conceptos L06,00:29:45
SOS1920-26,,#16 Actualizar código desde L06,00:18:56
SOS1920-26,,#17 Revisar vídeo L07,01:32:22
SOS1920-26,,#18 Realización de la api,03:10:43
SOS1920-26,,#19 Realizar API REST,02:21:08
SOS1920-26,,#2 Hacer administradores a Diego y Jose de Toggl,00:00:34
SOS1920-26,,#20 Subir proyecto a Heroku,00:56:07
SOS1920-26,,#21 Revisar vídeo L08,01:26:48
SOS1920-26,,#22 Implementar nedb y modularizar,00:43:46
SOS1920-26,,#23 Actualizar API y postman,13:06:06
SOS1920-26,,#24 Feedback 04,05:23:28
SOS1920-26,,#26 Integrar Travis,00:30:30
SOS1920-26,,#27 Arreglar D02,01:49:57
SOS1920-26,,#28 Segunda gráfica,02:07:46
SOS1920-26,,#3 Modificar README (Javi),00:21:46
SOS1920-26,,#30 Integraciones SOS,08:37:04
SOS1920-26,,#31 Integraciones diemonvaz,10:04:10
SOS1920-26,,#33 3 datos integrados en una gráfica,02:51:19
SOS1920-26,,#5 Servidor web que devuelva la hora (Javi),01:15:03
SOS1920-26,,#6 Doing readme,00:43:11
SOS1920-26,,#7 Instalar Postman,00:05:28
SOS1920-26,,#8 Sincronizar repositorio SOS1920-26,00:07:07
SOS1920-26,,#9 Comprobar fuente de datos,00:05:09
SOS1920-26,,arreglar d02,05:35:28
SOS1920-26,,Correcciones + Grafica,01:58:17
SOS1920-26,,d03,02:55:48
SOS1920-26,,Desarollo,05:45:10
SOS1920-26,,elaboración f02,00:11:19
SOS1920-26,,grafica 2,01:29:47
SOS1920-26,,grafica y más,02:26:24
SOS1920-26,,graficas,02:41:48
SOS1920-26,,integraciones,12:51:16
SOS1920-26,,integraciones ,03:58:56
SOS1920-26,,modificar ,03:46:38
SOS1920-26,,POSTMAN,02:50:56
SOS1920-26,,postman,01:30:35
SOS1920-26,,Toggl Button,01:33:12
SOS1920-26,,,11:57:26
